,T1_TeamID,T2_TeamID,Pred,Team1,Team2
0,3376,3323,0.8440391095780422,South Carolina,Notre Dame
1,3376,3333,0.8434037494560411,South Carolina,Oregon St
2,3376,3231,0.8070595597169052,South Carolina,Indiana
3,3376,3328,0.9119811887092757,South Carolina,Oklahoma
4,3376,3304,0.9361395151972065,South Carolina,Nebraska
5,3376,3279,0.9139270735409428,South Carolina,Mississippi
6,3376,3314,0.9421632654086005,South Carolina,North Carolina
7,3376,3277,0.905635432044541,South Carolina,Michigan St
8,3376,3266,0.9247987957788504,South Carolina,Marquette
9,3376,3401,0.9464620613729633,South Carolina,Texas A&M
10,3376,3195,0.9083856494870395,South Carolina,FL Gulf Coast
11,3376,3193,0.8915469150476626,South Carolina,Fairfield
12,3376,3186,0.9569562472408699,South Carolina,E Washington
13,3376,3245,0.9628287692015696,South Carolina,Kent
14,3376,3342,0.9885802979466595,South Carolina,Presbyterian
15,3376,3400,0.6776417879493661,South Carolina,Texas
16,3376,3390,0.7400086769195384,South Carolina,Stanford
17,3376,3301,0.8701592809588568,South Carolina,NC State
18,3376,3211,0.7621367526717238,South Carolina,Gonzaga
19,3376,3428,0.8799455820601796,South Carolina,Utah
20,3376,3397,0.9323048214428697,South Carolina,Tennessee
21,3376,3235,0.9206732245286089,South Carolina,Iowa St
22,3376,3104,0.8959214591150382,South Carolina,Alabama
23,3376,3199,0.933280633553687,South Carolina,Florida St
24,3376,3268,0.9270923659907575,South Carolina,Maryland
25,3376,3453,0.9223037472374784,South Carolina,WI Green Bay
26,3376,3355,0.9212012404301375,South Carolina,S Dakota St
27,3376,3414,0.9751411425053031,South Carolina,UC Irvine
28,3376,3151,0.9395306766807261,South Carolina,Chattanooga
29,3376,3313,0.9607041746578204,South Carolina,Norfolk St
30,3376,3180,0.9693927161700052,South Carolina,Drexel
31,3376,3234,0.717089541209256,South Carolina,Iowa
32,3376,3417,0.8185975781179844,South Carolina,UCLA
33,3376,3261,0.8133051021707667,South Carolina,LSU
34,3376,3243,0.8308506577583366,South Carolina,Kansas St
35,3376,3160,0.8770372987936066,South Carolina,Colorado
36,3376,3257,0.9035541930786268,South Carolina,Louisville
37,3376,3166,0.8883363506966131,South Carolina,Creighton
38,3376,3452,0.878512829627804,South Carolina,West Virginia
39,3376,3343,0.8783595589863771,South Carolina,Princeton
40,3376,3424,0.815571718037742,South Carolina,UNLV
41,3376,3292,0.9137431189813576,South Carolina,MTSU
42,3376,3179,0.9071704583409728,South Carolina,Drake
43,3376,3339,0.9721525171464249,South Carolina,Portland
44,3376,3349,0.9684563099763677,South Carolina,Rice
45,3376,3465,0.9525442234587274,South Carolina,Cal Baptist
46,3376,3221,0.9835201281374947,South Carolina,Holy Cross
47,3376,3425,0.8578978198260859,South Carolina,USC
48,3376,3326,0.8297157866930012,South Carolina,Ohio St
49,3376,3163,0.7437550958810238,South Carolina,Connecticut
50,3376,3439,0.8560057536266498,South Carolina,Virginia Tech
51,3376,3124,0.8797326562255241,South Carolina,Baylor
