,ID,Pred
0,2024_1163_1235,0.5772329001028531
1,2024_1163_1228,0.6962740385753601
2,2024_1163_1120,0.6436717498300453
3,2024_1163_1361,0.6916662366852567
4,2024_1163_1140,0.7481616428935184
5,2024_1163_1450,0.8444933702569442
6,2024_1163_1194,0.8109342135692292
7,2024_1163_1321,0.8117525934317513
8,2024_1163_1179,0.7552552381431351
9,2024_1163_1182,0.805442550530994
10,2024_1163_1412,0.8774263632157572
11,2024_1163_1463,0.8936449339711097
12,2024_1163_1287,0.912341863453806
13,2024_1163_1355,0.952174412558063
14,2024_1163_1391,0.9603681603250029
15,2024_1163_1314,0.6939634141402168
16,2024_1163_1112,0.6450187435549211
17,2024_1163_1124,0.6999364132409132
18,2024_1163_1104,0.7150667743538501
19,2024_1163_1388,0.7747604984491154
20,2024_1163_1155,0.8541193933390423
21,2024_1163_1173,0.7275160021777689
22,2024_1163_1280,0.7681242245575584
23,2024_1163_1277,0.8076568440737704
24,2024_1163_1305,0.8030655109869678
25,2024_1163_1307,0.7662572501788717
26,2024_1163_1213,0.7631197739673006
27,2024_1163_1158,0.8524209298532947
28,2024_1163_1159,0.9287490579635106
29,2024_1163_1253,0.9501005941231713
30,2024_1163_1224,0.9825001156065738
31,2024_1163_1345,0.35065125504636
32,2024_1163_1397,0.6279508766574196
33,2024_1163_1166,0.7419704551798977
34,2024_1163_1242,0.6692055142709867
35,2024_1163_1211,0.798723831941748
36,2024_1163_1376,0.7786847360183937
37,2024_1163_1400,0.8522411996019306
38,2024_1163_1429,0.785586186839657
39,2024_1163_1395,0.8602016042768044
40,2024_1163_1161,0.8226324091699737
41,2024_1163_1332,0.8658510198686007
42,2024_1163_1270,0.7896269209867774
43,2024_1163_1359,0.7876447176739279
44,2024_1163_1103,0.8882953104931464
45,2024_1163_1389,0.9528499683514641
46,2024_1163_1212,0.9657662296118603
47,2024_1163_1222,0.33204962572433744
48,2024_1163_1266,0.76096759691704
49,2024_1163_1246,0.8122885531697401
50,2024_1163_1181,0.7959023606738389
51,2024_1163_1458,0.7512737073708287
52,2024_1163_1403,0.7788342225388929
53,2024_1163_1196,0.7555690789210527
54,2024_1163_1304,0.7987779085267188
55,2024_1163_1401,0.8577585496944511
56,2024_1163_1129,0.8267259543512806
57,2024_1163_1301,0.8578737606269791
58,2024_1163_1241,0.8383092064299427
59,2024_1163_1436,0.8218899030976416
60,2024_1163_1324,0.9042186455635934
61,2024_1163_1443,0.9558037926423818
62,2024_1163_1255,0.9518278536881544
63,2024_1163_1160,0.7800062814144064
64,2024_1163_1286,0.9718011712582728
65,2024_1163_1438,0.7823938998217563
66,2024_1163_1447,0.9822220009952627
67,2024_1235_1163,0.4227670998971469
68,2024_1235_1228,0.5684247631652599
69,2024_1235_1120,0.5058739135512353
70,2024_1235_1361,0.6273289609512159
71,2024_1235_1140,0.7258419365040987
72,2024_1235_1450,0.7744736230343039
73,2024_1235_1194,0.7251365623146836
74,2024_1235_1321,0.7982232370620223
75,2024_1235_1179,0.5917911059805057
76,2024_1235_1182,0.7234249334608822
77,2024_1235_1412,0.8380693132663466
78,2024_1235_1463,0.8453705447380682
79,2024_1235_1287,0.9119787800102024
80,2024_1235_1355,0.9471520240971514
81,2024_1235_1391,0.9589365156769252
82,2024_1235_1314,0.5277347835925739
83,2024_1235_1112,0.5860865098828426
84,2024_1235_1124,0.6602302666701392
85,2024_1235_1104,0.6550828587445879
86,2024_1235_1388,0.674757671004538
87,2024_1235_1155,0.7897153586743664
88,2024_1235_1173,0.6340290067074636
89,2024_1235_1280,0.7254269953521412
90,2024_1235_1277,0.7560315939759796
91,2024_1235_1305,0.7065713809836554
92,2024_1235_1307,0.6525296865320775
93,2024_1235_1213,0.698905710530149
94,2024_1235_1158,0.8280629170935189
95,2024_1235_1159,0.9201417818532562
96,2024_1235_1253,0.9479178946423191
97,2024_1235_1224,0.9815584302593382
98,2024_1235_1345,0.28054663904564603
99,2024_1235_1397,0.5821775140685755
100,2024_1235_1166,0.7546053155687322
101,2024_1235_1242,0.6967423197649207
102,2024_1235_1211,0.7296163533397408
103,2024_1235_1376,0.6946213023888451
104,2024_1235_1400,0.80947537284459
105,2024_1235_1429,0.7016724984104237
106,2024_1235_1395,0.7895823581042929
107,2024_1235_1161,0.7391591838234608
108,2024_1235_1332,0.7924274783816675
109,2024_1235_1270,0.6989549828758306
110,2024_1235_1359,0.7949227862400217
111,2024_1235_1103,0.8863959803224044
112,2024_1235_1389,0.9531030430109413
113,2024_1235_1212,0.9669916760167543
114,2024_1235_1222,0.27524758897132817
115,2024_1235_1266,0.6391743785310537
116,2024_1235_1246,0.7740422513458882
117,2024_1235_1181,0.7099697357729291
118,2024_1235_1458,0.6904615515016934
119,2024_1235_1403,0.7277755232525396
120,2024_1235_1196,0.6689881247864568
121,2024_1235_1304,0.7338237803696079
122,2024_1235_1401,0.796055221980378
123,2024_1235_1129,0.7540138155992819
124,2024_1235_1301,0.7906059350395791
125,2024_1235_1241,0.7065286120926864
126,2024_1235_1436,0.811981420822128
127,2024_1235_1324,0.898996704043821
128,2024_1235_1443,0.9515879765713549
129,2024_1235_1255,0.9491005763782827
130,2024_1235_1160,0.709819094049311
131,2024_1235_1286,0.9721005233345552
132,2024_1235_1438,0.7731446300137653
133,2024_1235_1447,0.9833227424893138
134,2024_1228_1163,0.3037259614246398
135,2024_1228_1235,0.43157523683474003
136,2024_1228_1120,0.4401261164565519
137,2024_1228_1361,0.5884186839612731
138,2024_1228_1140,0.6752050287082854
139,2024_1228_1450,0.7337198446172686
140,2024_1228_1194,0.6639168591356265
141,2024_1228_1321,0.788862954270799
142,2024_1228_1179,0.49668201971696957
143,2024_1228_1182,0.6699863445906749
144,2024_1228_1412,0.794134259606702
145,2024_1228_1463,0.8089228413453833
146,2024_1228_1287,0.8988312151959398
147,2024_1228_1355,0.9390517021383508
148,2024_1228_1391,0.9549563467794311
149,2024_1228_1314,0.46866533528307386
150,2024_1228_1112,0.532049903700827
151,2024_1228_1124,0.6011784558712348
152,2024_1228_1104,0.6259043863508712
153,2024_1228_1388,0.6305790339661541
154,2024_1228_1155,0.7346122502434266
155,2024_1228_1173,0.5574072644730843
156,2024_1228_1280,0.6729449691055139
157,2024_1228_1277,0.7114702513443375
158,2024_1228_1305,0.6576498148954018
159,2024_1228_1307,0.5901819614469284
160,2024_1228_1213,0.6508830944762343
161,2024_1228_1158,0.7855305572272773
162,2024_1228_1159,0.9134247637214705
163,2024_1228_1253,0.9409443355153078
164,2024_1228_1224,0.9802257827779663
165,2024_1228_1345,0.2376189994741491
166,2024_1228_1397,0.5213854185840537
167,2024_1228_1166,0.6666725659814422
168,2024_1228_1242,0.6501778906587004
169,2024_1228_1211,0.6994874087568708
170,2024_1228_1376,0.6392926664220999
171,2024_1228_1400,0.7494139291434909
172,2024_1228_1429,0.6273166410096696
173,2024_1228_1395,0.7297377251089265
174,2024_1228_1161,0.6825055646814792
